threshold,precision,recall,f1
0.2,0.08285163776493257,0.86,0.15114235500878734
0.3,0.0967741935483871,0.84,0.17355371900826447
0.4,0.11898016997167139,0.84,0.20843672456575682
0.5,0.1384083044982699,0.8,0.2359882005899705
0.6,0.17105263157894737,0.78,0.2805755395683453
