model,precision,recall,f1,roc_auc,pr_auc
logistic_regression,0.1384083044982699,0.8,0.2359882005899705,0.8436625514403292,0.2682664051702159
random_forest,0.1746031746031746,0.44,0.25,0.817119341563786,0.1925191842049118
